Date,Open,High,Low,Close,Adj Close,Volume
25/07/2022,2.39,2.428,2.365,2.393,2.393,0
26/07/2022,2.48,2.485,2.125,2.475,2.475,0
27/07/2022,2.46,2.463,2.318,2.383,2.383,0
28/07/2022,2.348,2.348,2.258,2.308,2.308,0
29/07/2022,2.29,2.318,2.273,2.298,2.298,0
31/07/2022,null,null,null,null,null,null
1/08/2022,2.29,2.313,2.263,2.265,2.265,0
2/08/2022,2.438,2.465,2.418,2.463,2.463,0
3/08/2022,2.443,2.47,2.398,2.428,2.428,0
4/08/2022,2.373,2.388,2.348,2.378,2.378,0
5/08/2022,2.373,2.425,2.328,2.41,2.41,0
7/08/2022,null,null,null,null,null,null
8/08/2022,2.433,2.47,2.425,2.46,2.46,0
9/08/2022,2.575,2.578,2.535,2.57,2.57,0
10/08/2022,2.573,2.578,2.488,2.535,2.535,0
11/08/2022,2.498,2.498,2.443,2.49,2.49,0
12/08/2022,2.483,2.503,2.455,2.5,2.5,0
14/08/2022,null,null,null,null,null,null
15/08/2022,2.488,2.513,2.445,2.513,2.513,0
16/08/2022,2.603,2.61,2.598,2.598,2.598,0
17/08/2022,2.5,2.628,2.5,2.568,2.568,0
18/08/2022,2.548,2.568,2.538,2.565,2.565,0
19/08/2022,2.573,2.58,2.558,2.58,2.58,0
21/08/2022,null,null,null,null,null,null
22/08/2022,2.585,2.675,2.585,2.648,2.648,0
23/08/2022,2.718,2.72,2.655,2.703,2.703,0
24/08/2022,2.698,2.715,2.665,2.713,2.713,0
25/08/2022,2.705,2.73,2.7,2.73,2.73,0
26/08/2022,2.738,2.755,2.698,2.755,2.755,0
28/08/2022,null,null,null,null,null,null
29/08/2022,2.75,2.813,2.75,2.798,2.798,0
30/08/2022,2.865,2.903,2.853,2.873,2.873,0
31/08/2022,2.863,2.87,2.84,2.86,2.86,0
1/09/2022,2.86,2.87,2.848,2.863,2.863,0
2/09/2022,2.835,2.848,2.8,2.82,2.82,0
4/09/2022,null,null,null,null,null,null
6/09/2022,2.823,2.863,2.818,2.845,2.845,0
7/09/2022,2.968,2.968,2.908,2.933,2.933,0
8/09/2022,2.948,2.965,2.933,2.95,2.95,0
9/09/2022,2.955,2.973,2.935,2.968,2.968,0
11/09/2022,null,null,null,null,null,null
12/09/2022,2.943,3,2.943,2.995,2.995,0
13/09/2022,3.073,3.213,3.025,3.153,3.153,0
14/09/2022,3.168,3.188,3,3.128,3.128,0
15/09/2022,3.138,3.143,3.075,3.095,3.095,0
16/09/2022,3.095,3.095,3.05,3.07,3.07,0
18/09/2022,null,null,null,null,null,null
19/09/2022,3.07,3.093,3.018,3.035,3.035,0
20/09/2022,3.26,3.263,3.21,3.243,3.243,0
21/09/2022,3.243,3.253,3.19,3.19,3.19,0
22/09/2022,3.185,3.185,3.13,3.13,3.13,0
23/09/2022,3.148,3.148,3.08,3.108,3.108,0
25/09/2022,null,null,null,null,null,null
26/09/2022,3.113,3.168,3.098,3.165,3.165,0
27/09/2022,3.265,3.265,3.218,3.25,3.25,0
28/09/2022,3.215,3.235,3.2,3.23,3.23,0
29/09/2022,3.225,3.243,3.185,3.218,3.218,0
30/09/2022,3.205,3.235,3.165,3.18,3.18,0
2/10/2022,null,null,null,null,null,null
3/10/2022,3.165,3.19,3.14,3.15,3.15,0
4/10/2022,3.305,3.32,3.26,3.315,3.315,0
5/10/2022,3.29,3.315,3.29,3.293,3.293,0
6/10/2022,3.285,3.298,3.263,3.288,3.288,0
7/10/2022,3.273,3.295,3.233,3.293,3.293,0
9/10/2022,null,null,null,null,null,null
10/10/2022,3.285,3.285,3.285,3.285,3.285,0
11/10/2022,3.293,3.34,3.283,3.34,3.34,0
12/10/2022,3.525,3.54,3.475,3.533,3.533,0
13/10/2022,3.515,3.603,3.485,3.583,3.583,0
14/10/2022,3.603,3.64,3.58,3.628,3.628,0
16/10/2022,null,null,null,null,null,null
17/10/2022,3.6,3.688,3.595,3.688,3.688,0
18/10/2022,3.815,3.835,3.755,3.833,3.833,0
19/10/2022,3.835,3.91,3.813,3.893,3.893,0
20/10/2022,3.895,3.903,3.855,3.89,3.89,0
21/10/2022,3.898,3.9,3.845,3.885,3.885,0
23/10/2022,null,null,null,null,null,null
24/10/2022,3.883,3.913,3.86,3.913,3.913,0
25/10/2022,3.975,3.975,3.94,3.965,3.965,0
26/10/2022,3.963,3.963,3.89,3.93,3.93,0
27/10/2022,3.913,3.93,3.883,3.93,3.93,0
28/10/2022,3.948,3.973,3.943,3.97,3.97,0
30/10/2022,null,null,null,null,null,null
31/10/2022,3.95,3.995,3.95,3.975,3.975,0
1/11/2022,4.033,4.055,4.02,4.05,4.05,0
2/11/2022,4.028,4.058,3.948,4.025,4.025,0
3/11/2022,4.025,4.028,4.008,4.025,4.025,0
4/11/2022,4.02,4.028,3.99,4.013,4.013,0
6/11/2022,null,null,null,null,null,null
7/11/2022,4.01,4.01,3.968,3.983,3.983,0
8/11/2022,4.095,4.095,4.065,4.09,4.09,0
9/11/2022,4.08,4.095,4,4.093,4.093,0
10/11/2022,4.095,4.095,3.948,4.055,4.055,0
11/11/2022,4.063,4.063,4.063,4.063,4.063,0
13/11/2022,null,null,null,null,null,null
14/11/2022,4.078,4.09,4.05,4.068,4.068,0
15/11/2022,4.125,4.13,4.105,4.13,4.13,0
16/11/2022,4.12,4.13,4.05,4.125,4.125,0
17/11/2022,4.128,4.135,4.088,4.113,4.113,0
18/11/2022,4.123,4.138,4.123,4.135,4.135,0
20/11/2022,null,null,null,null,null,null
21/11/2022,4.123,4.13,4.083,4.098,4.098,0
22/11/2022,4.2,4.203,4.19,4.198,4.198,0
23/11/2022,4.205,4.215,4.168,4.2,4.2,0
25/11/2022,4.175,4.188,4.145,4.175,4.175,0
27/11/2022,null,null,null,null,null,null
28/11/2022,4.175,4.19,4.148,4.183,4.183,0
29/11/2022,4.275,4.28,4.24,4.253,4.253,0
30/11/2022,4.253,4.27,4.2,4.253,4.253,0
1/12/2022,4.213,4.223,4.168,4.193,4.193,0
2/12/2022,4.17,4.21,4.143,4.208,4.208,0
4/12/2022,null,null,null,null,null,null
5/12/2022,4.178,4.195,4.155,4.158,4.158,0
6/12/2022,4.245,4.25,4.2,4.22,4.22,0
7/12/2022,4.208,4.215,4.155,4.183,4.183,0
8/12/2022,4.18,4.183,4.105,4.15,4.15,0
9/12/2022,4.143,4.175,4.12,4.173,4.173,0
11/12/2022,null,null,null,null,null,null
12/12/2022,4.175,4.18,4.133,4.168,4.168,0
13/12/2022,4.29,4.29,4.213,4.248,4.248,0
14/12/2022,4.23,4.24,4.198,4.22,4.22,0
15/12/2022,4.218,4.218,4.175,4.213,4.213,0
16/12/2022,4.175,4.183,4.155,4.163,4.163,0
18/12/2022,null,null,null,null,null,null
19/12/2022,4.183,4.185,4.148,4.163,4.163,0
20/12/2022,4.253,4.255,4.213,4.23,4.23,0
21/12/2022,4.21,4.223,4.2,4.205,4.205,0
22/12/2022,4.195,4.213,4.178,4.208,4.208,0
23/12/2022,4.195,4.208,4.183,4.193,4.193,0
25/12/2022,null,null,null,null,null,null
27/12/2022,4.198,4.223,4.153,4.195,4.195,0
28/12/2022,4.338,4.343,4.328,4.338,4.338,0
29/12/2022,4.333,4.333,4.295,4.295,4.295,0
30/12/2022,4.298,4.3,4.223,4.26,4.26,0
1/01/2023,null,null,null,null,null,null
3/01/2023,4.26,4.26,4.225,4.255,4.255,0
4/01/2023,4.39,4.4,4.378,4.4,4.4,0
5/01/2023,4.408,4.5,4.4,4.498,4.498,0
6/01/2023,4.51,4.52,4.455,4.493,4.493,0
8/01/2023,null,null,null,null,null,null
9/01/2023,4.49,4.503,4.458,4.483,4.483,0
10/01/2023,4.553,4.58,4.525,4.565,4.565,0
11/01/2023,4.55,4.57,4.5,4.555,4.555,0
12/01/2023,4.543,4.543,4.448,4.475,4.475,0
13/01/2023,4.48,4.488,4.45,4.488,4.488,0
15/01/2023,null,null,null,null,null,null
17/01/2023,4.49,4.508,4.468,4.493,4.493,0
18/01/2023,4.543,4.55,4.4,4.53,4.53,0
19/01/2023,4.535,4.553,4.465,4.525,4.525,0
20/01/2023,4.525,4.54,4.52,4.538,4.538,0
22/01/2023,null,null,null,null,null,null
23/01/2023,4.533,4.543,4.525,4.535,4.535,0
24/01/2023,4.575,4.578,4.568,4.573,4.573,0
25/01/2023,4.563,4.565,4.545,4.545,4.545,0
26/01/2023,4.54,4.55,4.533,4.543,4.543,0
27/01/2023,4.538,4.548,4.52,4.548,4.548,0
29/01/2023,null,null,null,null,null,null
30/01/2023,4.545,4.545,4.535,4.535,4.535,0
31/01/2023,4.58,4.58,4.565,4.57,4.57,0
1/02/2023,4.56,4.56,4.5,4.52,4.52,0
2/02/2023,4.513,4.523,4.475,4.51,4.51,0
3/02/2023,4.498,4.53,4.455,4.523,4.523,0
5/02/2023,null,null,null,null,null,null
6/02/2023,4.533,4.54,4.515,4.533,4.533,0
7/02/2023,4.57,4.575,4.563,4.57,4.57,0
8/02/2023,4.57,4.588,4.5,4.585,4.585,0
9/02/2023,4.578,4.613,4.573,4.613,4.613,0
10/02/2023,4.625,4.643,4.615,4.635,4.635,0
12/02/2023,null,null,null,null,null,null
13/02/2023,4.64,4.653,4.633,4.645,4.645,0
14/02/2023,4.663,4.67,4.645,4.66,4.66,0
15/02/2023,4.65,4.655,4.643,4.643,4.643,0
16/02/2023,4.645,4.67,4.64,4.665,4.665,0
17/02/2023,4.675,4.69,4.673,4.68,4.68,0
19/02/2023,null,null,null,null,null,null
21/02/2023,4.68,4.695,4.68,4.688,4.688,0
22/02/2023,4.705,4.708,4.69,4.695,4.695,0
23/02/2023,4.69,4.698,4.68,4.69,4.69,0
24/02/2023,4.685,4.71,4.685,4.703,4.703,0
26/02/2023,null,null,null,null,null,null
27/02/2023,4.69,4.7,4.648,4.665,4.665,0
28/02/2023,4.72,4.73,4.71,4.71,4.71,0
1/03/2023,4.715,4.735,4.7,4.725,4.725,0
2/03/2023,4.72,4.733,4.713,4.723,4.723,0
3/03/2023,4.708,4.728,4.705,4.718,4.718,0
5/03/2023,null,null,null,null,null,null
6/03/2023,4.718,4.73,4.713,4.728,4.728,0
7/03/2023,4.753,4.845,4.753,4.845,4.845,0
8/03/2023,4.855,4.883,4.7,4.883,4.883,0
9/03/2023,4.863,4.875,4.828,4.848,4.848,0
10/03/2023,4.818,4.83,4.728,4.803,4.803,0
12/03/2023,null,null,null,null,null,null
13/03/2023,4.438,4.718,4.418,4.658,4.658,0
14/03/2023,4.743,4.785,4.633,4.68,4.68,0
15/03/2023,4.563,4.613,4.498,4.558,4.558,0
16/03/2023,4.57,4.595,4.455,4.53,4.53,0
17/03/2023,4.505,4.51,4.248,4.293,4.293,0
19/03/2023,null,null,null,null,null,null
20/03/2023,4.258,4.47,4.258,4.465,4.465,0
21/03/2023,4.668,4.678,4.545,4.605,4.605,0
22/03/2023,4.61,4.615,4.5,4.563,4.563,0
23/03/2023,4.538,4.568,4.45,4.503,4.503,0
24/03/2023,4.4,4.518,4.39,4.503,4.503,0
26/03/2023,null,null,null,null,null,null
27/03/2023,4.56,4.633,4.558,4.583,4.583,0
28/03/2023,4.633,4.648,4.578,4.628,4.628,0
29/03/2023,4.613,4.633,4.4,4.63,4.63,0
30/03/2023,4.628,4.665,4.575,4.665,4.665,0
31/03/2023,4.635,4.645,4.58,4.585,4.585,0
2/04/2023,null,null,null,null,null,null
3/04/2023,4.618,4.64,4.56,4.57,4.57,0
4/04/2023,4.758,4.76,4.725,4.728,4.728,0
5/04/2023,4.705,4.713,4.6,4.705,4.705,0
6/04/2023,4.675,4.718,4.668,4.71,4.71,0
9/04/2023,null,null,null,null,null,null
10/04/2023,4.748,4.87,4.723,4.838,4.838,0
11/04/2023,4.903,4.91,4.86,4.88,4.88,0
12/04/2023,4.878,4.893,4.65,4.86,4.86,0
13/04/2023,4.838,4.858,4.82,4.855,4.855,0
14/04/2023,4.845,4.903,4.81,4.903,4.903,0
16/04/2023,null,null,null,null,null,null
17/04/2023,4.893,4.993,4.89,4.923,4.923,0
18/04/2023,5.02,5.04,5.005,5.03,5.03,0
19/04/2023,5.035,5.038,4.985,4.995,4.995,0
20/04/2023,4.96,4.965,4.903,4.945,4.945,0
21/04/2023,4.94,4.958,4.893,4.95,4.95,0
23/04/2023,null,null,null,null,null,null
24/04/2023,4.945,4.985,4.843,4.873,4.873,0
25/04/2023,4.99,5.005,4.93,4.953,4.953,0
26/04/2023,4.968,5,4.9,4.985,4.985,0
27/04/2023,4.973,5.045,4.97,5,5,0
28/04/2023,4.983,4.998,4.923,4.923,4.923,0
30/04/2023,null,null,null,null,null,null
1/05/2023,4.928,4.95,4.86,4.865,4.865,0
2/05/2023,5.068,5.088,5.015,5.04,5.04,0
3/05/2023,5.073,5.095,4.9,5.095,5.095,0
4/05/2023,5.048,5.14,5.008,5.055,5.055,0
5/05/2023,5.055,5.118,5.028,5.08,5.08,0
7/05/2023,null,null,null,null,null,null
8/05/2023,5.09,5.09,5.063,5.083,5.083,0
9/05/2023,5.105,5.13,5.04,5.123,5.123,0
10/05/2023,5.118,5.118,5.058,5.065,5.065,0
11/05/2023,5.058,5.058,4.998,5.015,5.015,0
12/05/2023,5.005,5.033,4.995,5.028,5.028,0
14/05/2023,null,null,null,null,null,null
15/05/2023,5.035,5.038,4.99,5,5,0
16/05/2023,5.038,5.058,5.015,5.058,5.058,0
17/05/2023,5.055,5.1,4.9,5.088,5.088,0
18/05/2023,5.078,5.125,5.043,5.125,5.125,0
19/05/2023,5.06,5.12,5.06,5.085,5.085,0
21/05/2023,null,null,null,null,null,null
22/05/2023,5.098,5.12,5.063,5.095,5.095,0
23/05/2023,5.205,5.22,5.15,5.153,5.153,0
24/05/2023,5.15,5.198,5,5.185,5.185,0
25/05/2023,5.183,5.21,5.158,5.163,5.163,0
26/05/2023,5.148,5.163,5.085,5.115,5.115,0
28/05/2023,null,null,null,null,null,null
30/05/2023,5.11,5.15,5.105,5.143,5.143,0
31/05/2023,5.238,5.275,5,5.248,5.248,0
1/06/2023,5.223,5.225,5.145,5.203,5.203,0
2/06/2023,5.193,5.248,5.185,5.215,5.215,0
4/06/2023,null,null,null,null,null,null
5/06/2023,5.2,5.203,5.138,5.143,5.143,0
6/06/2023,5.16,5.193,5.118,5.158,5.158,0
7/06/2023,5.145,5.165,5.1,5.153,5.153,0
8/06/2023,5.143,5.145,5.093,5.1,5.1,0
9/06/2023,5.09,5.108,5.085,5.095,5.095,0
11/06/2023,null,null,null,null,null,null
12/06/2023,5.098,5.105,5.083,5.095,5.095,0
13/06/2023,5.13,5.13,5.04,5.1,5.1,0
14/06/2023,5.093,5.105,5,5.08,5.08,0
15/06/2023,5.07,5.078,5.055,5.055,5.055,0
16/06/2023,5.06,5.07,5.045,5.065,5.065,0
18/06/2023,null,null,null,null,null,null
20/06/2023,5.065,5.08,5.065,5.075,5.075,0
21/06/2023,5.13,5.14,5,5.135,5.135,0
22/06/2023,5.13,5.138,5.118,5.135,5.135,0
23/06/2023,5.118,5.14,5.118,5.138,5.138,0
25/06/2023,null,null,null,null,null,null
26/06/2023,5.138,5.16,5.133,5.155,5.155,0
27/06/2023,5.18,5.185,5.175,5.18,5.18,0
28/06/2023,5.168,5.175,5.165,5.17,5.17,0
29/06/2023,5.163,5.185,5.163,5.175,5.175,0
30/06/2023,5.168,5.168,5.14,5.153,5.153,0
2/07/2023,null,null,null,null,null,null
3/07/2023,5.138,5.15,5.128,5.145,5.145,0
5/07/2023,5.203,5.203,5.173,5.193,5.193,0
6/07/2023,5.208,5.22,5.2,5.213,5.213,0
7/07/2023,5.215,5.218,5.205,5.213,5.213,0
9/07/2023,null,null,null,null,null,null
10/07/2023,5.208,5.228,5.185,5.225,5.225,0
11/07/2023,5.24,5.25,5.24,5.243,5.243,0
12/07/2023,5.24,5.24,5.1,5.23,5.23,0
13/07/2023,5.218,5.23,5.205,5.223,5.223,0
14/07/2023,5.223,5.233,5.208,5.215,5.215,0
16/07/2023,null,null,null,null,null,null
17/07/2023,5.223,5.238,5.218,5.233,5.233,0
18/07/2023,5.243,5.248,5.243,5.248,5.248,0
19/07/2023,5.245,5.25,5.1,5.245,5.245,0
20/07/2023,5.245,5.248,5.24,5.243,5.243,0
21/07/2023,5.243,5.248,5.24,5.248,5.248,0
23/07/2023,null,null,null,null,null,null
24/07/2023,5.253,5.255,5.25,5.25,5.25,0
25/07/2023,5.265,5.268,5.26,5.265,5.265,0
